Discharge Time (s),Voltage (V)
643,3.990333
644,3.989573
645,3.990244
646,3.990557
647,3.993239
648,3.992301
649,3.991004
650,3.990512
651,3.991719
652,3.992926
653,3.98935
654,3.99002
655,3.987919
656,3.988679
657,3.989573
658,3.992301
659,3.99002
660,3.99239
661,3.9918535
662,3.991317
663,3.991004
664,3.99011
665,3.990244
666,3.988858
667,3.988724
668,3.988455
669,3.990199
670,3.991183
671,3.992256
672,3.991071
673,3.989886
674,3.989394
675,3.987695
676,3.990512
677,3.989573
678,3.987472
679,3.989126
680,3.990199
681,3.991093
682,3.989305
683,3.9907355
684,3.992166
685,3.989663
686,3.988903
687,3.987963
688,3.989439
689,3.986801
690,3.988634
691,3.988411
692,3.989394
693,3.989707
694,3.9900425000000004
695,3.990378
696,3.987695
697,3.988992
698,3.987159
699,3.988187
700,3.98622
701,3.988768
702,3.988992
703,3.989841
704,3.9895955
705,3.98935
706,3.988813
707,3.98622
708,3.988008
709,3.989484
710,3.987472
711,3.987248
712,3.990065
713,3.98926
714,3.988992
715,3.9886565000000003
716,3.988321
717,3.989975
718,3.987427
719,3.987785
720,3.985862
721,3.987427
722,3.987427
723,3.987785
724,3.989528
725,3.988008
726,3.9875385000000003
727,3.987069
728,3.990199
729,3.987606
730,3.987248
731,3.98613
732,3.987203
733,3.985504
734,3.986667
735,3.988276
736,3.987114
737,3.9884105
738,3.989707
739,3.98774
740,3.986712
741,3.986264
742,3.986712
743,3.98546
744,3.987025
745,3.988947
746,3.989126
747,3.987919
748,3.987807
749,3.987695
750,3.986175
751,3.986801
752,3.986264
753,3.986443
754,3.985996
755,3.985594
756,3.988679
757,3.98622
758,3.986935
759,3.987673
760,3.988411
761,3.986309
762,3.985773
763,3.986399
764,3.98385
765,3.985817
766,3.985862
767,3.985862
768,3.985773
769,3.986309
770,3.986935
771,3.987561
772,3.987695
773,3.985281
774,3.985773
775,3.985281
776,3.984297
777,3.985549
778,3.987025
779,3.987651
780,3.986443
781,3.9854595
782,3.984476
783,3.983448
784,3.984789
785,3.984432
786,3.984789
787,3.984879
788,3.98537
789,3.985639
790,3.986086
791,3.986175
792,3.986264
793,3.986488
794,3.98461
795,3.985996
796,3.983805
797,3.984074
798,3.983895
799,3.984834
800,3.984923
801,3.98698
802,3.9863315
803,3.985683
804,3.984074
805,3.983358
806,3.984476
807,3.985147
808,3.983716
809,3.984252
810,3.984789
811,3.98537
812,3.984432
813,3.9840739999999997
814,3.983716
815,3.9847
816,3.982151
817,3.983448
818,3.984789
819,3.981481
820,3.981436
821,3.984208
822,3.983537
823,3.984879
824,3.9846104999999996
825,3.984342
826,3.983627
827,3.982464
828,3.983358
829,3.982598
830,3.981123
831,3.983448
832,3.984118
833,3.983135
834,3.984432
835,3.9836715
836,3.982911
837,3.982777
838,3.983045
839,3.981883
840,3.981838
841,3.981972
842,3.982509
843,3.983895
844,3.984208
845,3.983962
846,3.983716
847,3.984342
848,3.981302
849,3.98233
850,3.97996
851,3.981928
852,3.982598
853,3.983492
854,3.983805
855,3.982464
856,3.982688
857,3.9834925
858,3.984297
859,3.982822
860,3.981928
861,3.980631
862,3.981123
863,3.98005
864,3.985057
865,3.98157
866,3.983895
867,3.9829115
868,3.981928
869,3.982419
870,3.980273
871,3.98157
872,3.98081
873,3.98233
874,3.98157
875,3.981883
876,3.982375
877,3.982017
878,3.9818605
879,3.981704
880,3.981793
881,3.97844
882,3.980363
883,3.980899
884,3.978664
885,3.979871
886,3.981972
887,3.982553
888,3.980944
889,3.9811449999999997
890,3.981346
891,3.980899
892,3.979871
893,3.981615
894,3.978261
895,3.979334
896,3.980855
897,3.981212
898,3.980229
899,3.98157
900,3.9812125
901,3.980855
902,3.979737
903,3.978082
904,3.98005
905,3.978842
906,3.97853
907,3.977188
908,3.979826
909,3.980989
910,3.979021
911,3.979871
912,3.980721
913,3.979379
914,3.979826
915,3.978977
916,3.977457
917,3.977859
918,3.978485
919,3.980407
920,3.979021
921,3.978887
922,3.979312
923,3.979737
924,3.979826
925,3.976696
926,3.977188
927,3.97692
928,3.977367
929,3.978887
930,3.978664
931,3.978798
932,3.9793345
933,3.979871
934,3.979558
935,3.977993
936,3.97692
937,3.976428
938,3.977322
939,3.97701
940,3.978082
941,3.980452
942,3.979334
943,3.9793789999999998
944,3.979424
945,3.977322
946,3.976294
947,3.976383
948,3.97692
949,3.976562
950,3.977457
951,3.978082
952,3.979379
953,3.978485
954,3.9775685000000003
955,3.976652
956,3.97844
957,3.977144
958,3.976518
959,3.975713
960,3.976428
961,3.976518
962,3.977501
963,3.978082
964,3.977457
965,3.9777025
966,3.977948
967,3.978842
968,3.975847
969,3.975489
970,3.976115
971,3.974684
972,3.976741
973,3.977412
974,3.976965
975,3.977725
976,3.9777025
977,3.97768
978,3.978306
979,3.976205
980,3.97531
981,3.974014
982,3.9754
983,3.97455
984,3.977725
985,3.975892
986,3.97701
987,3.977099
988,3.977188
989,3.976294
990,3.974193
991,3.975042
992,3.975221
993,3.975981
994,3.974237
995,3.976473
996,3.975266
